cycle,range_bin,doppler_bin,output_hex
2598475000,10,20,ff61004a
2598485000,10,21,0127ff1d
2598495000,10,22,004700d3
2598505000,10,23,fe2a011b
2598515000,10,24,01b2fd3a
2598525000,10,25,ffe30122
2598535000,10,26,ffabff88
2598545000,10,27,00c50027
2598555000,10,28,004900bc
2598565000,10,29,ff75ff4f
2598575000,10,30,006700b5
2598585000,10,31,ffaeff7d
2600465000,11,0,ffdafffb
2600475000,11,1,ffadffa0
2600485000,11,2,005affda
2600495000,11,3,004101a5
2600505000,11,4,ff1ffe05
2600515000,11,5,00c200d1
2600525000,11,6,002f0088
2600535000,11,7,fed1ffb4
2600545000,11,8,006eff83
2600555000,11,9,002700da
2600565000,11,10,ffd6feaa
2600575000,11,11,0119002b
2600585000,11,12,004500dd
2600595000,11,13,ff160059
2600605000,11,14,ff6dfe8c
2600615000,11,15,00b100e0
2602495000,11,16,ffe80011
2602505000,11,17,00640014
2602515000,11,18,ffe80012
2602525000,11,19,001fffc6
2602535000,11,20,ffd10058
2602545000,11,21,00aa0040
2602555000,11,22,fee2ff3d
2602565000,11,23,005f00fb
2602575000,11,24,0056feb3
2602585000,11,25,015a0026
2602595000,11,26,fea601bc
2602605000,11,27,ff81feba
2602615000,11,28,00bd0054
2602625000,11,29,ff80ff9e
2602635000,11,30,006c00f5
2602645000,11,31,ffc1ff2d
2604525000,12,0,ffb9ffad
2604535000,12,1,00460047
2604545000,12,2,001d000c
2604555000,12,3,ff4aff88
2604565000,12,4,016a0056
2604575000,12,5,fe2c006e
2604585000,12,6,0089fec3
2604595000,12,7,ffb300da
2604605000,12,8,01ebff71
2604615000,12,9,fe60ff59
2604625000,12,10,002d02a8
2604635000,12,11,000cfddc
2604645000,12,12,001a0064
2604655000,12,13,000a0086
2604665000,12,14,ffc5ff39
2604675000,12,15,005b00a6
2606555000,12,16,000bffe6
2606565000,12,17,ffe60005
2606575000,12,18,0044007d
2606585000,12,19,ff6eff63
2606595000,12,20,005a0088
2606605000,12,21,ffaffd8c
2606615000,12,22,014102fa
2606625000,12,23,fd60ff7f
2606635000,12,24,0237fdc4
2606645000,12,25,fffa0159
2606655000,12,26,ff68004d
2606665000,12,27,006a006d
2606675000,12,28,ffdcff2a
2606685000,12,29,ffb90076
2606695000,12,30,00630088
2606705000,12,31,ffd8ff89
2608585000,13,0,ffd80002
2608595000,13,1,ff6c0010
2608605000,13,2,00beff6b
2608615000,13,3,00440072
2608625000,13,4,fe910032
2608635000,13,5,028eff23
2608645000,13,6,fdca010b
2608655000,13,7,0011ffdf
2608665000,13,8,008eff5c
2608675000,13,9,00120084
2608685000,13,10,fe960119
2608695000,13,11,0210fe06
2608705000,13,12,ff110158
2608715000,13,13,0014ff91
2608725000,13,14,ffb2ffe1
2608735000,13,15,00a30009
2610615000,13,16,fff0fffe
2610625000,13,17,0041ff91
2610635000,13,18,007900c0
2610645000,13,19,ff58ff3c
2610655000,13,20,ff77015d
2610665000,13,21,0123ff3f
2610675000,13,22,00940008
2610685000,13,23,fda601c1
2610695000,13,24,0156fd80
2610705000,13,25,000f0243
2610715000,13,26,ff07fee2
2610725000,13,27,fff4008a
2610735000,13,28,004f0025
2610745000,13,29,ff61ff61
2610755000,13,30,01100076
2610765000,13,31,ff5a0005
2612645000,14,0,0000ffe3
2612655000,14,1,ff650080
2612665000,14,2,00dfff43
2612675000,14,3,ff63ff88
2612685000,14,4,00e80134
2612695000,14,5,ffd00042
2612705000,14,6,fdc5ff6f
2612715000,14,7,0206009c
2612725000,14,8,ffd8fe9f
2612735000,14,9,ff9f0006
2612745000,14,10,ffe90127
2612755000,14,11,00e1fee2
2612765000,14,12,ffac0166
2612775000,14,13,ffa8fed0
2612785000,14,14,ffff006b
2612795000,14,15,00420002
2614675000,14,16,fff90002
2614685000,14,17,001dff97
2614695000,14,18,001e005a
2614705000,14,19,ff5c0072
2614715000,14,20,002ffffa
2614725000,14,21,000bfe75
2614735000,14,22,00f90102
2614745000,14,23,fec4fff1
2614755000,14,24,0129ffb0
2614765000,14,25,004d0011
2614775000,14,26,fff80098
2614785000,14,27,ff6e003a
2614795000,14,28,00d7ff68
2614805000,14,29,fe930013
2614815000,14,30,01590008
2614825000,14,31,ff6a0003
2616705000,15,0,0003ffc4
2616715000,15,1,ff7affee
2616725000,15,2,00ddffda
2616735000,15,3,ffad00e0
2616745000,15,4,ffe4ff8f
2616755000,15,5,ff3e0013
2616765000,15,6,00cdffeb
2616775000,15,7,ff76feeb
2616785000,15,8,009900f4
2616795000,15,9,00ae0024
2616805000,15,10,fe8500be
2616815000,15,11,00b7fe52
2616825000,15,12,00700001
2616835000,15,13,fffe01ab
2616845000,15,14,ff29fe3d
2616855000,15,15,007a010b
2618735000,15,16,ffe2002a
2618745000,15,17,004effd3
2618755000,15,18,fff00037
2618765000,15,19,000dffdf
2618775000,15,20,ffc9004d
2618785000,15,21,ffe4001f
2618795000,15,22,ff77ff0c
2618805000,15,23,005300b1
2618815000,15,24,0100ff0c
2618825000,15,25,ffb000fd
2618835000,15,26,ffa60069
2618845000,15,27,ff8bffa1
2618855000,15,28,005dff69
2618865000,15,29,004a0065
2618875000,15,30,ffc30098
2618885000,15,31,0011ff0b
2620765000,16,0,ffedffac
2620775000,16,1,fffefff6
2620785000,16,2,0014002c
2620795000,16,3,ffc3ffb7
2620805000,16,4,00b5001f
2620815000,16,5,fe150174
2620825000,16,6,01e5fcd6
2620835000,16,7,ffa10273
2620845000,16,8,000b0034
2620855000,16,9,ff20fe64
2620865000,16,10,ffea017e
2620875000,16,11,017dfeb5
2620885000,16,12,fec700f9
2620895000,16,13,008dffa2
2620905000,16,14,ffc9ff80
2620915000,16,15,003f00b9
2622795000,16,16,fff30010
2622805000,16,17,0010fffe
2622815000,16,18,ffbf0019
2622825000,16,19,00a6ff46
2622835000,16,20,feb50163
2622845000,16,21,00a3fe22
2622855000,16,22,0067016c
2622865000,16,23,fe90ff7e
2622875000,16,24,0219006e
2622885000,16,25,fe20fee4
2622895000,16,26,00250167
2622905000,16,27,ffa2ff2e
2622915000,16,28,0137ffbb
2622925000,16,29,00290030
2622935000,16,30,ff9500e0
2622945000,16,31,0024ff62
2624825000,17,0,0012ffc8
2624835000,17,1,ffd9003b
2624845000,17,2,0091ffe4
2624855000,17,3,ff0a00ca
2624865000,17,4,01bcff46
2624875000,17,5,fd19002b
2624885000,17,6,0160feda
2624895000,17,7,017c009b
2624905000,17,8,fde60072
2624915000,17,9,01630029
2624925000,17,10,ffbdffb0
2624935000,17,11,ffca0004
2624945000,17,12,ffec0034
2624955000,17,13,0053ffa9
2624965000,17,14,ffe2001e
2624975000,17,15,ffd8001f
2626855000,17,16,fff7fff0
2626865000,17,17,00510006
2626875000,17,18,ffc3001c
2626885000,17,19,ff21ff03
2626895000,17,20,01da011d
2626905000,17,21,fe700042
2626915000,17,22,0124fe33
2626925000,17,23,ff7e0111
2626935000,17,24,00c1006e
2626945000,17,25,ffb9ff58
2626955000,17,26,ffefffc8
2626965000,17,27,00970129
2626975000,17,28,003efee1
2626985000,17,29,feda0158
2626995000,17,30,00e2ff0d
2627005000,17,31,ffae001b
2628885000,18,0,ffd6ffe6
2628895000,18,1,002f003c
2628905000,18,2,ff7affce
2628915000,18,3,00ceff08
2628925000,18,4,00580176
2628935000,18,5,feec002f
2628945000,18,6,ffd6fe20
2628955000,18,7,00350092
2628965000,18,8,001600bc
2628975000,18,9,00f50078
2628985000,18,10,fe3aff2c
2628995000,18,11,0222006c
2629005000,18,12,fd300018
2629015000,18,13,0268fff5
2629025000,18,14,feeaffb6
2629035000,18,15,007b0022
2630915000,18,16,fff10021
2630925000,18,17,007fffae
2630935000,18,18,ff570067
2630945000,18,19,0041ffd0
2630955000,18,20,ff740092
2630965000,18,21,00b4ffda
2630975000,18,22,ffa90091
2630985000,18,23,fe07ff64
2630995000,18,24,02d3ffd7
2631005000,18,25,fe490026
2631015000,18,26,00190027
2631025000,18,27,ff5f0026
2631035000,18,28,00b8ff0e
2631045000,18,29,0080001a
2631055000,18,30,ffc700e9
2631065000,18,31,ffadff5e
2632945000,19,0,ffceffba
2632955000,19,1,001e0032
2632965000,19,2,ffa9ff41
2632975000,19,3,007c011a
2632985000,19,4,0038fee6
2632995000,19,5,ff5001e0
2633005000,19,6,0027fd38
2633015000,19,7,009100af
2633025000,19,8,ff4e0218
2633035000,19,9,ffbaff40
2633045000,19,10,00b9ffb1
2633055000,19,11,ff56fefe
2633065000,19,12,002c0170
2633075000,19,13,0058ff8a
2633085000,19,14,ff7fff2e
2633095000,19,15,009500dd
2634975000,19,16,ffda0000
2634985000,19,17,00170018
2634995000,19,18,00160000
2635005000,19,19,0073ffe6
2635015000,19,20,fe44ffdc
2635025000,19,21,028a004e
2635035000,19,22,fe3900c5
2635045000,19,23,ffb5fe7f
2635055000,19,24,01b4011a
2635065000,19,25,fef3ffe2
2635075000,19,26,001afffe
2635085000,19,27,fec5ff5a
2635095000,19,28,016e0036
2635105000,19,29,fffc0010
2635115000,19,30,ffe700c1
2635125000,19,31,ffc3ff69
2637005000,20,0,ffedffcb
2637015000,20,1,0039ffdd
2637025000,20,2,ff8300c9
2637035000,20,3,001afeb4
2637045000,20,4,011c022f
2637055000,20,5,fdf9feaf
2637065000,20,6,0072fe4a
2637075000,20,7,01b301b1
2637085000,20,8,ffbb0049
2637095000,20,9,fe77ff6f
2637105000,20,10,0099ffd1
2637115000,20,11,01260068
2637125000,20,12,fe5cff69
2637135000,20,13,013f009d
2637145000,20,14,ff3affb8
2637155000,20,15,003d0053
2639035000,20,16,ffffffbc
2639045000,20,17,ff8d005f
2639055000,20,18,00dcffd5
2639065000,20,19,ff2dffda
2639075000,20,20,004a0004
2639085000,20,21,fff3ff9d
2639095000,20,22,00ad0128
2639105000,20,23,fe28fe9d
2639115000,20,24,0245ff80
2639125000,20,25,0031006d
2639135000,20,26,ff42ffab
2639145000,20,27,00c10136
2639155000,20,28,fffaff8c
2639165000,20,29,ff7f0017
2639175000,20,30,0055ffd4
2639185000,20,31,0002002b
2641065000,21,0,fff80004
2641075000,21,1,000affce
2641085000,21,2,ffb6ffc8
2641095000,21,3,00ec00a6
2641105000,21,4,febc01c3
2641115000,21,5,0006fcb0
2641125000,21,6,00bd00f4
2641135000,21,7,feefffed
2641145000,21,8,026c00ec
2641155000,21,9,fd9afef6
2641165000,21,10,00a800ee
2641175000,21,11,0100ff02
2641185000,21,12,ff580109
2641195000,21,13,ffeaff78
2641205000,21,14,ffddffc2
2641215000,21,15,00210057
2643095000,21,16,fffbfff1
2643105000,21,17,00400028
2643115000,21,18,ff7bff7c
2643125000,21,19,00c800d9
2643135000,21,20,fe15ff5e
2643145000,21,21,01d7ff3e
2643155000,21,22,002d0102
2643165000,21,23,fefbff8a
2643175000,21,24,01d7ff73
2643185000,21,25,ffd00060
2643195000,21,26,ff6d00d6
2643205000,21,27,0024ff21
2643215000,21,28,ffe9ffd2
2643225000,21,29,ffd500ba
2643235000,21,30,00dbff60
2643245000,21,31,ff7d0014
2645125000,22,0,fff0ffec
2645135000,22,1,ffec0034
2645145000,22,2,00400009
2645155000,22,3,ff2fff1a
2645165000,22,4,018801b9
2645175000,22,5,fe6efd7a
2645185000,22,6,01f301d0
2645195000,22,7,fe9e008f
2645205000,22,8,0128ff10
2645215000,22,9,fe4c0022
2645225000,22,10,ff800047
2645235000,22,11,01c9ff78
2645245000,22,12,fff80083
2645255000,22,13,feeeffc8
2645265000,22,14,0085ffa0
2645275000,22,15,0006004f
2647155000,22,16,000ffffc
2647165000,22,17,fff90036
2647175000,22,18,ffacff9d
2647185000,22,19,fffb009e
2647195000,22,20,ff90ff68
2647205000,22,21,022bff5c
2647215000,22,22,fea900c9
2647225000,22,23,ff15004c
2647235000,22,24,0175fdf6
2647245000,22,25,007f01c0
2647255000,22,26,ff64ff5b
2647265000,22,27,005f00c0
2647275000,22,28,002cff8a
2647285000,22,29,ff21ffce
2647295000,22,30,00770073
2647305000,22,31,fffdff9e
2649185000,23,0,fffdfffc
2649195000,23,1,000bff97
2649205000,23,2,ffe6003a
2649215000,23,3,002900cd
2649225000,23,4,ff96fe2f
2649235000,23,5,00470231
2649245000,23,6,ff8cfdfe
2649255000,23,7,0096000b
2649265000,23,8,ffa301fa
2649275000,23,9,0091ff4b
2649285000,23,10,fed60022
2649295000,23,11,012fff9f
2649305000,23,12,ff5aff4b
2649315000,23,13,00990115
2649325000,23,14,ff88ff46
2649335000,23,15,00360051
2651215000,23,16,fffd0011
2651225000,23,17,00600021
2651235000,23,18,ff4ffff1
2651245000,23,19,00c7ffae
2651255000,23,20,ff290132
2651265000,23,21,00fdff63
2651275000,23,22,fee4ffb7
2651285000,23,23,0060007f
2651295000,23,24,ffbbffb9
2651305000,23,25,006effe9
2651315000,23,26,ff89017d
2651325000,23,27,ff3dfee4
2651335000,23,28,0123ff90
2651345000,23,29,000d0017
2651355000,23,30,ffc80167
2651365000,23,31,ffccfef3
2653245000,24,0,ffeaff9f
2653255000,24,1,ffbe0034
2653265000,24,2,00c70018
2653275000,24,3,fedaffdc
2653285000,24,4,01420002
2653295000,24,5,fe46006e
2653305000,24,6,0245fe7f
2653315000,24,7,feec00e4
2653325000,24,8,004c007f
2653335000,24,9,ffcaffd6
2653345000,24,10,feef0128
2653355000,24,11,00d0fe0c
2653365000,24,12,00200108
2653375000,24,13,ffeaff80
2653385000,24,14,000dffa1
2653395000,24,15,001200b4
2655275000,24,16,0003ffec
2655285000,24,17,001b0003
2655295000,24,18,ffee006e
2655305000,24,19,ffdcff17
2655315000,24,20,0005006a
2655325000,24,21,0060ff53
2655335000,24,22,ffd20124
2655345000,24,23,fecafee4
2655355000,24,24,02bb005e
2655365000,24,25,fdcdff03
2655375000,24,26,01a200bc
2655385000,24,27,ff24016d
2655395000,24,28,ffcdfe00
2655405000,24,29,014c006b
2655415000,24,30,ff76010e
2655425000,24,31,000aff54
2657305000,25,0,ffdcffdc
2657315000,25,1,ffebff76
2657325000,25,2,006800cd
2657335000,25,3,ff4fff66
2657345000,25,4,00810116
2657355000,25,5,0013fe40
2657365000,25,6,0009006e
2657375000,25,7,000c0134
2657385000,25,8,ff4afec2
2657395000,25,9,007b021e
2657405000,25,10,ff1efdc1
2657415000,25,11,0063000c
2657425000,25,12,019900c4
2657435000,25,13,fe83ffe0
2657445000,25,14,0001ff7c
2657455000,25,15,007600b6
2659335000,25,16,0003ffc8
2659345000,25,17,00a9006b
2659355000,25,18,ff6bffe0
2659365000,25,19,ffc8ffe9
2659375000,25,20,feec007c
2659385000,25,21,021fff29
2659395000,25,22,fee8fffd
2659405000,25,23,ffabffc3
2659415000,25,24,0191008c
2659425000,25,25,fef9ff51
2659435000,25,26,0029ffdc
2659445000,25,27,003001c1
2659455000,25,28,ff34fee8
2659465000,25,29,000fffbf
2659475000,25,30,00b800af
2659485000,25,31,ff45ffbf
2661365000,26,0,fff2ffc6
2661375000,26,1,fff3001a
2661385000,26,2,00070036
2661395000,26,3,000eff52
2661405000,26,4,0052006c
2661415000,26,5,ff2c00cc
2661425000,26,6,ff5efea0
2661435000,26,7,025700f6
2661445000,26,8,fe1eff6e
2661455000,26,9,00ad01e0
2661465000,26,10,ffddfdb4
2661475000,26,11,ffd60106
2661485000,26,12,ffa6ff84
2661495000,26,13,0114ffb6
2661505000,26,14,ff5e00ba
2661515000,26,15,003dffce
2663395000,26,16,ffe20007
2663405000,26,17,007f0004
2663415000,26,18,ff780087
2663425000,26,19,ff78fef3
2663435000,26,20,0065009f
2663445000,26,21,00b3ff52
2663455000,26,22,ff7dfff8
2663465000,26,23,0008019d
2663475000,26,24,00caffad
2663485000,26,25,fdb1fefe
2663495000,26,26,01dcfeeb
2663505000,26,27,ffa401e9
2663515000,26,28,004fff29
2663525000,26,29,ffc50028
2663535000,26,30,0097009a
2663545000,26,31,ffbcffab
2665425000,27,0,fffc000e
2665435000,27,1,ffbaffaf
2665445000,27,2,fffbffa3
2665455000,27,3,ffcd011e
2665465000,27,4,00e5febe
2665475000,27,5,002800fe
2665485000,27,6,feb7ffb5
2665495000,27,7,005c0036
2665505000,27,8,00660098
2665515000,27,9,ff8aff5d
2665525000,27,10,ff5bffc5
2665535000,27,11,0171fe82
2665545000,27,12,ffa902b0
2665555000,27,13,ffb0fe86
2665565000,27,14,ffdb004f
2665575000,27,15,0072001a
2667455000,27,16,000effea
2667465000,27,17,ffee00a5
2667475000,27,18,ff68ff21
2667485000,27,19,016800a7
2667495000,27,20,fe76ffe4
2667505000,27,21,01250075
2667515000,27,22,fff8ffff
2667525000,27,23,ff310003
2667535000,27,24,0184ff7e
2667545000,27,25,fdc00173
2667555000,27,26,00c4fe9f
2667565000,27,27,003600e9
2667575000,27,28,ff30ff5c
2667585000,27,29,00f50063
2667595000,27,30,ff840051
2667605000,27,31,ffe9ffc5
2669485000,28,0,fffbffff
2669495000,28,1,004fffe8
2669505000,28,2,00040022
2669515000,28,3,febeffc2
2669525000,28,4,0147007d
2669535000,28,5,ffebff5a
2669545000,28,6,ff100109
2669555000,28,7,00e8fe88
2669565000,28,8,004501a3
2669575000,28,9,ff67fe20
2669585000,28,10,ffb40142
2669595000,28,11,0092ff30
2669605000,28,12,0015fff1
2669615000,28,13,ffd7017e
2669625000,28,14,ffe4fed3
2669635000,28,15,00080056
2671515000,28,16,0009fff5
2671525000,28,17,ff9f0049
2671535000,28,18,ffd5fff7
